RANK,PLAYER,GAMES,PASSING_COMP,PASSING_ATT,PASSING_PCT,PASSING_YDS,PASSING_Y/A,PASSING_AIR,PASSING_AIR/A,DEEP_BALL_10+_YDS,DEEP_BALL_20+_YDS,DEEP_BALL_30+_YDS,DEEP_BALL_40+_YDS,DEEP_BALL_50+_YDS,PRESSURE_PKT_TIME,PRESSURE_SACK,PRESSURE_KNCK,PRESSURE_HRRY,PRESSURE_BLITZ,MISC_POOR,MISC_DROP,MISC_RZ_ATT,MISC_RTG,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,MISC_FL,MISC_FPTS
1,Jalen Hurts,1,24,44,55%,338,7.7,195,4.4,15,7,3,1,0,2.6,6,1,3,24,11,0,3,102,3.0,0.0,11.0,63.0,1.0,0.0,37.8
2,Josh Allen,1,28,40,70%,359,9.0,250,6.3,14,6,1,1,1,2.8,1,1,6,18,9,0,9,115,2.0,0.0,3.0,33.0,2.0,0.0,37.7
3,Ryan Tannehill,1,21,27,78%,273,10.1,149,5.5,11,3,1,1,1,2.6,1,0,1,12,3,0,3,146,3.0,0.0,3.0,21.0,2.0,0.0,37.0
4,Kyler Murray,1,27,36,75%,406,11.3,261,7.3,16,7,4,3,0,2.6,1,0,5,10,5,0,5,128,3.0,1.0,8.0,29.0,1.0,1.0,34.1
5,Lamar Jackson,1,17,22,77%,243,11.0,168,7.6,11,4,2,1,0,2.5,1,0,0,8,2,0,4,133,3.0,1.0,10.0,35.0,1.0,0.0,30.2
6,Justin Herbert,1,22,32,69%,314,9.8,234,7.3,15,3,1,1,1,2.5,1,4,5,7,5,2,3,121,2.0,0.0,4.0,14.0,1.0,0.0,28.0
7,Matt Ryan,1,34,49,69%,356,7.3,244,5.0,17,5,1,0,0,2.5,3,1,2,23,3,2,6,111,3.0,0.0,1.0,16.0,0.0,0.0,27.8
8,Marcus Mariota,1,17,28,61%,226,8.1,156,5.6,9,4,1,0,0,2.5,0,2,3,4,6,1,3,83,1.0,1.0,9.0,88.0,1.0,0.0,26.8
9,Patrick Mahomes II,1,26,47,55%,254,5.4,148,3.1,11,3,0,0,0,3.0,4,8,7,7,7,3,7,92,3.0,0.0,7.0,37.0,0.0,1.0,25.9
10,Deshaun Watson,1,33,41,80%,373,9.1,249,6.1,16,5,2,0,0,2.7,5,2,9,7,3,1,8,121,2.0,0.0,6.0,25.0,0.0,1.0,23.4
11,Tom Brady,1,31,45,69%,390,8.7,214,4.8,18,5,2,1,0,2.2,3,4,5,21,10,3,7,110,2.0,0.0,2.0,-2.0,0.0,0.0,23.4
12,Baker Mayfield,1,27,32,84%,297,9.3,211,6.6,13,4,0,0,0,2.5,1,0,6,13,2,0,7,126,2.0,0.0,4.0,11.0,0.0,0.0,21.0
13,Drew Brees,1,15,34,44%,234,6.9,110,3.2,9,5,1,1,1,2.7,1,6,0,5,5,4,2,85,3.0,1.0,0.0,0.0,0.0,0.0,20.4
14,Kirk Cousins,1,24,35,69%,271,7.7,136,3.9,10,5,1,0,0,2.6,3,6,8,10,4,1,7,99,2.0,1.0,3.0,25.0,0.0,0.0,20.3
15,Tua Tagovailoa,1,20,26,77%,145,5.6,71,2.7,5,0,0,0,0,2.4,2,1,2,6,3,1,5,73,0.0,1.0,3.0,9.0,2.0,0.0,19.7
16,Aaron Rodgers,1,20,29,69%,143,4.9,51,1.8,7,1,0,0,0,2.0,5,0,5,10,2,3,3,92,1.0,0.0,5.0,26.0,1.0,0.0,18.3
17,Ryan Finley,1,7,13,54%,89,6.8,65,5.0,4,1,1,0,0,2.2,2,4,0,6,2,0,3,101,1.0,0.0,10.0,47.0,1.0,0.0,18.3
18,Andy Dalton,1,19,33,58%,209,6.3,101,3.1,9,3,2,1,0,2.1,2,0,4,16,7,1,4,97,2.0,0.0,2.0,8.0,0.0,0.0,17.2
19,Philip Rivers,1,22,28,79%,228,8.1,146,5.2,8,3,1,1,0,2.6,1,2,2,9,3,1,5,124,2.0,0.0,1.0,-1.0,0.0,0.0,17.0
20,Teddy Bridgewater,1,21,35,60%,258,7.4,125,3.6,10,3,2,1,0,2.5,3,3,3,10,6,2,3,83,0.0,0.0,4.0,26.0,1.0,1.0,16.9
21,Dwayne Haskins,1,38,55,69%,295,5.4,171,3.1,14,2,1,0,0,2.5,4,4,2,20,6,4,6,73,1.0,2.0,3.0,28.0,0.0,0.0,16.6
22,Jared Goff,1,22,34,65%,209,6.1,107,3.1,8,1,1,1,0,2.7,3,5,2,12,4,3,2,89,2.0,1.0,1.0,9.0,0.0,0.0,16.3
23,Gardner Minshew II,1,22,29,76%,226,7.8,153,5.3,11,3,0,0,0,2.2,5,2,2,18,3,0,5,121,2.0,0.0,2.0,9.0,0.0,1.0,15.9
24,Matthew Stafford,1,22,32,69%,252,7.9,171,5.3,9,3,3,1,0,2.7,0,4,1,10,6,2,2,103,1.0,0.0,2.0,12.0,0.0,0.0,15.3
25,Mitchell Trubisky,1,15,21,71%,202,9.6,111,5.3,9,3,1,0,0,2.5,1,1,0,8,3,0,5,98,1.0,1.0,8.0,34.0,0.0,0.0,14.5
26,Sam Darnold,1,22,31,71%,207,6.7,117,3.8,9,3,0,0,0,2.3,2,1,4,12,1,1,6,100,1.0,0.0,5.0,18.0,0.0,0.0,14.1
27,Nick Mullens,1,21,36,58%,219,6.1,134,3.7,10,3,0,0,0,2.8,2,3,4,11,7,1,5,71,2.0,2.0,1.0,7.0,0.0,1.0,13.5
28,Russell Wilson,1,18,27,67%,121,4.5,76,2.8,4,0,0,0,0,2.2,0,3,4,8,6,0,2,73,1.0,1.0,6.0,52.0,0.0,0.0,13.0
29,Cam Newton,1,17,27,63%,209,7.7,125,4.6,9,4,1,0,0,3.0,3,0,2,10,7,0,0,87,0.0,0.0,9.0,38.0,0.0,0.0,12.2
30,Drew Lock,1,20,32,63%,132,4.1,80,2.5,5,0,0,0,0,2.7,3,0,3,10,3,2,2,82,1.0,0.0,5.0,37.0,0.0,1.0,11.0
31,Colt McCoy,1,19,31,61%,221,7.1,143,4.6,10,4,1,0,0,2.4,1,2,4,5,6,2,6,83,0.0,0.0,2.0,3.0,0.0,0.0,9.1
32,C.J. Beathard,1,5,7,71%,100,14.3,78,11.1,3,3,1,1,0,2.6,0,0,0,1,0,1,1,153,1.0,0.0,0.0,0.0,0.0,0.0,8.0
33,Ben Roethlisberger,1,20,38,53%,170,4.5,77,2.0,5,3,1,0,0,2.0,1,8,2,15,10,0,4,62,1.0,1.0,2.0,-1.0,0.0,1.0,7.7
34,Taysom Hill,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,3.0,1.0,0.0,6.3
35,Chase Daniel,1,5,6,83%,55,9.2,38,6.3,3,1,0,0,0,2.7,0,0,1,2,0,0,1,65,0.0,1.0,1.0,11.0,0.0,0.0,2.3
36,Derek Carr,1,3,5,60%,53,10.6,26,5.2,2,1,1,0,0,2.6,1,1,1,0,1,0,0,96,0.0,0.0,0.0,0.0,0.0,0.0,2.1
37,Tyler Huntley,1,2,4,50%,7,1.8,2,0.5,0,0,0,0,0,2.3,0,1,0,1,2,0,0,56,0.0,0.0,4.0,18.0,0.0,0.0,2.1
38,Jacoby Brissett,1,0,1,0%,0,0.0,0,0.0,0,0,0,0,0,3.7,0,0,0,0,1,0,1,40,0.0,0.0,1.0,2.0,0.0,0.0,0.2
39,Logan Woodside,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,-3.0,0.0,0.0,-0.3
40,Mike White,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
41,Brandon Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
42,Nathan Peterman,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
43,Jameis Winston,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
44,Taylor Heinicke,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
45,Geno Smith,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
46,Joshua Dobbs,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
47,Easton Stick,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
48,Joe Webb III,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tyrod Taylor,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
50,Jeff Driskel,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
51,Carson Wentz,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
52,Joe Burrow,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
53,Jimmy Garoppolo,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
54,Dak Prescott,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
55,Daniel Jones,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
56,Brett Rypien,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
57,Jarrett Stidham,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
58,Kyle Allen,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
59,Matt Barkley,1,0,0,0%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Mason Rudolph,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
61,Case Keenum,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
62,Joe Flacco,0,0,0,%,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,,
